Hombres;Barcelona;2017;2655722
Mujeres;Barcelona;2017;2818659
Hombres;Barcelona;2018;2673145
Mujeres;Barcelona;2018;2841735
Hombres;Barcelona;2019;2703227
Mujeres;Barcelona;2019;2871977
Hombres;Barcelona;2020;2733621
Mujeres;Barcelona;2020;2901423
Hombres;Bizkaia;2011;560835
Mujeres;Bizkaia;2011;595195
Hombres;Bizkaia;2012;559733
Mujeres;Bizkaia;2012;595976
Hombres;Bizkaia;2013;555108
Mujeres;Bizkaia;2013;593763
Hombres;Bizkaia;2014;549932
Mujeres;Bizkaia;2014;590353
Hombres;Bizkaia;2015;547848
Mujeres;Bizkaia;2015;589272
Hombres;Bizkaia;2016;546309
Mujeres;Bizkaia;2016;588061
Hombres;Bizkaia;2017;545784
Mujeres;Bizkaia;2017;588707
Hombres;Bizkaia;2018;545801
Mujeres;Bizkaia;2018;589047
Hombres;Bizkaia;2019;546785
Mujeres;Bizkaia;2019;590406
Hombres;Bizkaia;2020;549413
Mujeres;Bizkaia;2020;593511
Hombres;Burgos;2011;188923
Mujeres;Burgos;2011;184329
Hombres;Burgos;2012;188155
Mujeres;Burgos;2012;184035
Hombres;Burgos;2013;185852
Mujeres;Burgos;2013;182849
Hombres;Burgos;2014;183820
Mujeres;Burgos;2014;181475
Hombres;Burgos;2015;182446
Mujeres;Burgos;2015;180466
Hombres;Burgos;2016;180678
Mujeres;Burgos;2016;179194
Hombres;Burgos;2017;179535
Mujeres;Burgos;2017;178081
Hombres;Burgos;2018;178742
Mujeres;Burgos;2018;177338
Hombres;Burgos;2019;178356
Mujeres;Burgos;2019;177073
Hombres;Burgos;2020;178484
Mujeres;Burgos;2020;177293
Hombres;Cantabria;2011;289406
Mujeres;Cantabria;2011;301468
Hombres;Cantabria;2012;290133
Mujeres;Cantabria;2012;302254
Hombres;Cantabria;2013;288734
Mujeres;Cantabria;2013;301303
Hombres;Cantabria;2014;287479
Mujeres;Cantabria;2014;300203
Hombres;Cantabria;2015;286204
Mujeres;Cantabria;2015;299154
Hombres;Cantabria;2016;284550
Mujeres;Cantabria;2016;297954
Hombres;Cantabria;2017;283967
Mujeres;Cantabria;2017;297510
Hombres;Cantabria;2018;283624
Mujeres;Cantabria;2018;297670
Hombres;Cantabria;2019;283562
Mujeres;Cantabria;2019;298080
Hombres;Cantabria;2020;283803
Mujeres;Cantabria;2020;298553
Hombres;Castelló;2011;298888
Mujeres;Castelló;2011;296685
Hombres;Castelló;2012;297669
Mujeres;Castelló;2012;296255
Hombres;Castelló;2013;292684
Mujeres;Castelló;2013;293045
Hombres;Castelló;2014;288155
Mujeres;Castelló;2014;290058
Hombres;Castelló;2015;285919
Mujeres;Castelló;2015;288540
Hombres;Castelló;2016;284025
Mujeres;Castelló;2016;287199
Hombres;Castelló;2017;283164
Mujeres;Castelló;2017;287007
Hombres;Castelló;2018;282778
Mujeres;Castelló;2018;286799
Hombres;Castelló;2019;283778
Mujeres;Castelló;2019;287822
Hombres;Castelló;2020;285298
Mujeres;Castelló;2020;289602
Hombres;Ceuta;2011;41801
Mujeres;Ceuta;2011;39826
Hombres;Ceuta;2012;42960
Mujeres;Ceuta;2012;40877
Hombres;Ceuta;2013;43323
Mujeres;Ceuta;2013;41211
Hombres;Ceuta;2014;43259
Mujeres;Ceuta;2014;41415
Hombres;Ceuta;2015;43124
Mujeres;Ceuta;2015;41569
Hombres;Ceuta;2016;43028
Mujeres;Ceuta;2016;41624
Hombres;Ceuta;2017;43209
Mujeres;Ceuta;2017;41825
Hombres;Ceuta;2018;43282
Mujeres;Ceuta;2018;41926
Hombres;Ceuta;2019;43020
Mujeres;Ceuta;2019;41809
Hombres;Ceuta;2020;42484
Mujeres;Ceuta;2020;41548
Hombres;Ciudad Real;2011;262176
Mujeres;Ciudad Real;2011;263990
Hombres;Ciudad Real;2012;262148
Mujeres;Ciudad Real;2012;264134
Hombres;Ciudad Real;2013;260177
Mujeres;Ciudad Real;2013;262572
Hombres;Ciudad Real;2014;257584
Mujeres;Ciudad Real;2014;260468
Hombres;Ciudad Real;2015;255465
Mujeres;Ciudad Real;2015;258679
Hombres;Ciudad Real;2016;252357
Mujeres;Ciudad Real;2016;256052
Hombres;Ciudad Real;2017;249888
Mujeres;Ciudad Real;2017;254229
Hombres;Ciudad Real;2018;246932
Mujeres;Ciudad Real;2018;251616
Hombres;Ciudad Real;2019;245147
Mujeres;Ciudad Real;2019;249959
Hombres;Ciudad Real;2020;244803
Mujeres;Ciudad Real;2020;249326
Hombres;Coru�a, A;2011;548550
Mujeres;Coru�a, A;2011;591518
Hombres;Coru�a, A;2012;549265
Mujeres;Coru�a, A;2012;591913
Hombres;Coru�a, A;2013;548031
Mujeres;Coru�a, A;2013;590463
Hombres;Coru�a, A;2014;545342
Mujeres;Coru�a, A;2014;587987
Hombres;Coru�a, A;2015;543023
Mujeres;Coru�a, A;2015;585671
Hombres;Coru�a, A;2016;540529
Mujeres;Coru�a, A;2016;583586
Hombres;Coru�a, A;2017;539055
Mujeres;Coru�a, A;2017;582691
Hombres;Coru�a, A;2018;538681
Mujeres;Coru�a, A;2018;582737
Hombres;Coru�a, A;2019;538755
Mujeres;Coru�a, A;2019;583252
Hombres;Coru�a, A;2020;539398
Mujeres;Coru�a, A;2020;584082
Hombres;Cuenca;2011;109637
Mujeres;Cuenca;2011;106740
Hombres;Cuenca;2012;108781
Mujeres;Cuenca;2012;105971
Hombres;Cuenca;2013;107374
Mujeres;Cuenca;2013;104422
Hombres;Cuenca;2014;105685
Mujeres;Cuenca;2014;102977
Hombres;Cuenca;2015;104624
Mujeres;Cuenca;2015;101970
Hombres;Cuenca;2016;103297
Mujeres;Cuenca;2016;100703
Hombres;Cuenca;2017;102229
Mujeres;Cuenca;2017;99808
Hombres;Cuenca;2018;101406
Mujeres;Cuenca;2018;99190
Hombres;Cuenca;2019;100868
Mujeres;Cuenca;2019;98761
Hombres;Cuenca;2020;101006
Mujeres;Cuenca;2020;98822
Hombres;C�ceres;2011;205858
Mujeres;C�ceres;2011;206539
Hombres;C�ceres;2012;206095
Mujeres;C�ceres;2012;206406
Hombres;C�ceres;2013;204868
